,,Job,Marital,Education,Default,HHInsurance,CarLoan,Communication,LastContactDay,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,AgeBin,BalanceBin,CallLength,CallLengthBin,CallStartHour,LastContactDate,LastContactWkd,LastContactMon,LastContactWk,LastContactWkNum
train,10,services,single,2,0,0,0,cellular,1,1,-1,0,NoPrev,2020-01-12 13:04:28,2020-01-12 13:07:29,1,1,3.0166666666666666,1,13,2016-06-01 00:00:00,2,6,22,1
train,11,blue-collar,married,1,1,0,0,cellular,29,1,-1,0,NoPrev,2020-01-12 16:45:50,2020-01-12 16:53:40,3,1,7.833333333333333,1,16,2016-01-29 00:00:00,4,1,4,4
train,12,technician,married,2,0,1,0,cellular,27,1,-1,0,NoPrev,2020-01-12 16:19:41,2020-01-12 16:31:22,2,1,11.683333333333334,2,16,2016-01-27 00:00:00,2,1,4,4
train,13,self-employed,divorced,2,0,1,0,None,19,2,-1,0,NoPrev,2020-01-12 10:29:56,2020-01-12 10:32:39,2,1,2.716666666666667,1,10,2016-06-19 00:00:00,6,6,24,3
train,14,services,single,2,0,0,0,cellular,29,8,97,12,other,2020-01-12 14:15:09,2020-01-12 14:19:45,1,1,4.6,1,14,2016-07-29 00:00:00,4,7,30,5
train,15,management,single,3,0,0,0,cellular,12,1,114,3,failure,2020-01-12 16:18:48,2020-01-12 16:20:59,3,1,2.183333333333333,1,16,2016-08-12 00:00:00,4,8,32,2
train,16,admin.,single,2,0,1,0,telephone,6,3,362,4,other,2020-01-12 11:48:45,2020-01-12 11:50:17,2,1,1.5333333333333334,1,11,2016-05-06 00:00:00,4,5,18,1
train,17,management,married,3,0,0,0,cellular,11,4,95,2,other,2020-01-12 11:23:26,2020-01-12 11:34:24,2,1,10.966666666666667,1,11,2016-09-11 00:00:00,6,9,36,2
train,18,blue-collar,married,2,0,1,0,cellular,6,1,169,2,failure,2020-01-12 12:42:54,2020-01-12 12:50:25,3,1,7.516666666666667,1,12,2016-05-06 00:00:00,4,5,18,1
train,19,blue-collar,married,1,0,0,0,telephone,5,1,-1,0,NoPrev,2020-01-12 10:34:08,2020-01-12 10:41:44,3,1,7.6,1,10,2016-04-05 00:00:00,1,4,14,2
train,20,blue-collar,married,2,0,1,1,None,18,8,-1,0,NoPrev,2020-01-12 09:05:50,2020-01-12 09:07:27,3,1,1.6166666666666667,1,9,2016-06-18 00:00:00,5,6,24,3
train,21,retired,married,2,0,0,0,telephone,8,3,91,13,success,2020-01-12 17:37:41,2020-01-12 17:47:47,5,1,10.1,1,17,2016-09-08 00:00:00,3,9,36,2
train,22,management,single,3,0,0,0,cellular,21,2,-1,0,NoPrev,2020-01-12 14:28:54,2020-01-12 14:32:32,1,1,3.6333333333333333,1,14,2016-08-21 00:00:00,6,8,33,3
train,23,retired,married,2,0,0,0,cellular,1,1,119,2,success,2020-01-12 15:37:19,2020-01-12 15:42:23,3,1,5.066666666666666,1,15,2016-07-01 00:00:00,4,7,26,1
train,24,technician,married,2,0,1,0,cellular,9,1,558,7,other,2020-01-12 16:30:52,2020-01-12 16:32:59,3,1,2.1166666666666667,1,16,2016-02-09 00:00:00,1,2,6,2
train,25,management,married,3,0,0,0,cellular,17,2,-1,0,NoPrev,2020-01-12 17:06:47,2020-01-12 17:11:22,1,1,4.583333333333333,1,17,2016-07-17 00:00:00,6,7,28,3
train,26,management,married,1,0,0,1,cellular,20,3,-1,0,NoPrev,2020-01-12 10:09:02,2020-01-12 10:10:46,3,1,1.7333333333333334,1,10,2016-11-20 00:00:00,6,11,46,3
train,27,None,divorced,0,0,0,0,cellular,21,3,-1,0,NoPrev,2020-01-12 12:33:22,2020-01-12 12:38:00,2,1,4.633333333333334,1,12,2016-04-21 00:00:00,3,4,16,4
train,28,services,married,2,0,1,0,None,16,3,-1,0,NoPrev,2020-01-12 13:50:40,2020-01-12 13:52:29,2,1,1.8166666666666667,1,13,2016-06-16 00:00:00,3,6,24,3
train,29,blue-collar,married,1,0,0,0,None,20,14,-1,0,NoPrev,2020-01-12 10:36:52,2020-01-12 10:37:05,2,1,0.21666666666666667,1,10,2016-06-20 00:00:00,0,6,25,4
train,30,technician,married,2,0,0,0,telephone,30,3,84,3,success,2020-01-12 11:49:24,2020-01-12 12:02:10,3,1,12.766666666666667,2,11,2016-04-30 00:00:00,5,4,17,5
train,31,admin.,single,2,0,1,0,cellular,2,1,194,3,failure,2020-01-12 10:23:34,2020-01-12 10:26:08,1,1,2.566666666666667,1,10,2016-06-02 00:00:00,3,6,22,1
train,32,retired,single,3,0,0,0,cellular,13,3,-1,0,NoPrev,2020-01-12 10:56:13,2020-01-12 11:00:57,3,1,4.733333333333333,1,10,2016-08-13 00:00:00,5,8,32,2
train,33,management,divorced,3,0,0,0,cellular,5,2,-1,0,NoPrev,2020-01-12 15:36:06,2020-01-12 15:42:29,2,1,6.383333333333334,1,15,2016-02-05 00:00:00,4,2,5,1
train,34,blue-collar,single,2,0,1,0,None,27,7,-1,0,NoPrev,2020-01-12 13:48:54,2020-01-12 13:49:33,2,1,0.65,1,13,2016-05-27 00:00:00,4,5,21,4
train,35,blue-collar,married,2,0,1,0,cellular,14,1,-1,0,NoPrev,2020-01-12 14:50:44,2020-01-12 14:59:10,2,1,8.433333333333334,1,14,2016-05-14 00:00:00,5,5,19,2
train,36,blue-collar,married,2,0,1,1,None,21,3,-1,0,NoPrev,2020-01-12 11:03:37,2020-01-12 11:20:04,1,1,16.45,2,11,2016-05-21 00:00:00,5,5,20,3
train,37,admin.,married,2,0,1,0,cellular,30,5,-1,0,NoPrev,2020-01-12 15:55:55,2020-01-12 15:56:36,1,1,0.6833333333333333,1,15,2016-07-30 00:00:00,5,7,30,5
train,38,blue-collar,divorced,1,0,1,0,cellular,18,3,-1,0,NoPrev,2020-01-12 13:13:21,2020-01-12 13:24:01,2,1,10.666666666666666,1,13,2016-07-18 00:00:00,0,7,29,4
train,39,admin.,married,2,0,1,1,cellular,17,3,-1,0,NoPrev,2020-01-12 15:33:58,2020-01-12 15:35:08,2,1,1.1666666666666667,1,15,2016-11-17 00:00:00,3,11,46,3
train,40,management,married,2,0,1,0,None,29,2,-1,0,NoPrev,2020-01-12 17:09:51,2020-01-12 17:12:00,1,1,2.15,1,17,2016-05-29 00:00:00,6,5,21,4
train,41,blue-collar,married,2,0,1,0,None,29,1,-1,0,NoPrev,2020-01-12 11:29:28,2020-01-12 11:31:42,2,1,2.2333333333333334,1,11,2016-05-29 00:00:00,6,5,21,4
train,42,management,single,3,0,0,0,cellular,5,1,-1,0,NoPrev,2020-01-12 09:23:59,2020-01-12 09:35:38,2,1,11.65,2,9,2016-02-05 00:00:00,4,2,5,1
train,43,admin.,married,2,0,1,0,cellular,15,1,176,1,failure,2020-01-12 10:50:44,2020-01-12 10:57:56,2,1,7.2,1,10,2016-05-15 00:00:00,6,5,19,2
train,44,management,married,3,0,0,0,cellular,21,1,-1,0,NoPrev,2020-01-12 11:15:10,2020-01-12 11:15:46,3,1,0.6,1,11,2016-08-21 00:00:00,6,8,33,3
train,45,blue-collar,single,2,0,1,0,None,3,3,-1,0,NoPrev,2020-01-12 16:20:13,2020-01-12 16:22:06,2,1,1.8833333333333333,1,16,2016-06-03 00:00:00,4,6,22,1
train,46,management,divorced,2,0,1,0,cellular,23,1,-1,0,NoPrev,2020-01-12 12:00:12,2020-01-12 12:12:53,2,1,12.683333333333334,2,12,2016-07-23 00:00:00,5,7,29,4
train,47,retired,divorced,1,0,0,0,cellular,9,2,-1,0,NoPrev,2020-01-12 16:23:38,2020-01-12 16:42:04,4,1,18.433333333333334,2,16,2016-10-09 00:00:00,6,10,40,2
train,48,admin.,single,2,0,0,0,None,2,4,-1,0,NoPrev,2020-01-12 17:02:45,2020-01-12 17:03:56,2,1,1.1833333333333333,1,17,2016-06-02 00:00:00,3,6,22,1
train,49,technician,divorced,2,0,0,0,cellular,4,4,-1,0,NoPrev,2020-01-12 09:31:15,2020-01-12 09:34:42,1,1,3.45,1,9,2016-02-04 00:00:00,3,2,5,1
train,50,services,divorced,2,0,1,0,cellular,16,1,-1,0,NoPrev,2020-01-12 16:18:17,2020-01-12 16:22:40,3,1,4.383333333333334,1,16,2016-04-16 00:00:00,5,4,15,3
train,51,housemaid,married,1,0,0,0,None,17,1,-1,0,NoPrev,2020-01-12 10:33:05,2020-01-12 10:34:17,2,1,1.2,1,10,2016-06-17 00:00:00,4,6,24,3
train,52,self-employed,married,2,0,1,1,cellular,20,1,-1,0,NoPrev,2020-01-12 13:17:32,2020-01-12 13:25:06,2,1,7.566666666666666,1,13,2016-11-20 00:00:00,6,11,46,3
train,53,retired,married,2,0,0,0,telephone,20,3,-1,0,NoPrev,2020-01-12 16:00:27,2020-01-12 16:06:18,4,1,5.85,1,16,2016-05-20 00:00:00,4,5,20,3
train,54,blue-collar,married,2,0,0,1,cellular,29,1,-1,0,NoPrev,2020-01-12 09:59:19,2020-01-12 10:01:23,1,1,2.066666666666667,1,9,2016-01-29 00:00:00,4,1,4,4
train,55,services,married,2,0,0,0,telephone,2,3,-1,0,NoPrev,2020-01-12 16:04:36,2020-01-12 16:28:16,2,1,23.666666666666668,3,16,2016-02-02 00:00:00,1,2,5,1
train,56,admin.,married,2,0,1,0,cellular,21,1,171,5,failure,2020-01-12 14:28:33,2020-01-12 14:33:16,1,1,4.716666666666667,1,14,2016-11-21 00:00:00,0,11,47,4
train,57,entrepreneur,divorced,2,0,0,1,cellular,13,1,327,1,failure,2020-01-12 17:42:06,2020-01-12 17:43:38,2,1,1.5333333333333334,1,17,2016-10-13 00:00:00,3,10,41,3
train,58,management,single,3,0,1,0,cellular,18,1,-1,0,NoPrev,2020-01-12 13:52:00,2020-01-12 14:02:12,2,1,10.2,1,13,2016-05-18 00:00:00,2,5,20,3
train,59,unemployed,married,2,0,0,0,cellular,26,1,-1,0,NoPrev,2020-01-12 12:25:24,2020-01-12 12:30:33,3,1,5.15,1,12,2016-05-26 00:00:00,3,5,21,4
train,60,management,divorced,3,0,0,0,cellular,28,4,-1,0,NoPrev,2020-01-12 15:13:44,2020-01-12 15:15:05,2,1,1.35,1,15,2016-08-28 00:00:00,6,8,34,4
train,61,entrepreneur,married,2,0,0,0,cellular,18,2,-1,0,NoPrev,2020-01-12 16:56:27,2020-01-12 17:16:08,2,1,19.683333333333334,2,16,2016-11-18 00:00:00,4,11,46,3
train,62,student,single,1,0,0,0,cellular,12,1,-1,0,NoPrev,2020-01-12 13:30:30,2020-01-12 13:34:57,1,1,4.45,1,13,2016-08-12 00:00:00,4,8,32,2
train,63,services,married,2,0,0,0,None,23,2,-1,0,NoPrev,2020-01-12 16:36:39,2020-01-12 16:38:51,3,1,2.2,1,16,2016-05-23 00:00:00,0,5,21,4
train,64,services,single,2,0,1,0,cellular,15,4,-1,0,NoPrev,2020-01-12 09:43:23,2020-01-12 10:00:05,2,1,16.7,2,9,2016-05-15 00:00:00,6,5,19,2
train,65,management,married,3,0,0,0,cellular,1,1,-1,0,NoPrev,2020-01-12 14:55:01,2020-01-12 14:59:56,3,1,4.916666666666667,1,14,2016-06-01 00:00:00,2,6,22,1
train,66,blue-collar,single,2,0,0,0,cellular,29,1,-1,0,NoPrev,2020-01-12 12:28:55,2020-01-12 12:29:20,1,1,0.4166666666666667,1,12,2016-01-29 00:00:00,4,1,4,4
train,67,management,married,3,0,1,0,cellular,20,1,-1,0,NoPrev,2020-01-12 10:53:09,2020-01-12 10:56:14,1,1,3.0833333333333335,1,10,2016-04-20 00:00:00,2,4,16,4
train,68,blue-collar,married,2,0,1,0,cellular,15,1,-1,0,NoPrev,2020-01-12 17:24:03,2020-01-12 17:26:18,2,1,2.25,1,17,2016-04-15 00:00:00,4,4,15,3
train,69,management,married,3,0,1,0,None,18,1,-1,0,NoPrev,2020-01-12 17:14:32,2020-01-12 17:19:48,3,1,5.266666666666667,1,17,2016-06-18 00:00:00,5,6,24,3
train,70,housemaid,married,3,0,1,0,cellular,7,2,-1,0,NoPrev,2020-01-12 09:25:35,2020-01-12 09:48:46,1,1,23.183333333333334,3,9,2016-05-07 00:00:00,5,5,18,1
train,71,admin.,married,2,0,1,0,None,26,2,-1,0,NoPrev,2020-01-12 14:51:53,2020-01-12 14:57:34,1,1,5.683333333333334,1,14,2016-05-26 00:00:00,3,5,21,4
train,72,technician,single,2,0,0,0,cellular,2,7,94,2,other,2020-01-12 14:02:27,2020-01-12 14:05:53,1,1,3.433333333333333,1,14,2016-09-02 00:00:00,4,9,35,1
train,73,blue-collar,married,2,0,1,0,None,29,3,-1,0,NoPrev,2020-01-12 13:50:30,2020-01-12 13:53:59,2,1,3.4833333333333334,1,13,2016-05-29 00:00:00,6,5,21,4
train,74,technician,divorced,3,0,0,0,cellular,27,4,-1,0,NoPrev,2020-01-12 17:29:40,2020-01-12 17:30:38,2,1,0.9666666666666667,1,17,2016-08-27 00:00:00,5,8,34,4
train,75,technician,divorced,2,0,0,0,cellular,10,1,183,1,failure,2020-01-12 13:29:13,2020-01-12 13:32:02,3,1,2.816666666666667,1,13,2016-02-10 00:00:00,2,2,6,2
train,76,technician,married,3,0,1,0,cellular,23,1,320,1,other,2020-01-12 11:55:36,2020-01-12 11:58:37,1,1,3.0166666666666666,1,11,2016-06-23 00:00:00,3,6,25,4
train,77,management,married,3,0,1,0,None,30,1,-1,0,NoPrev,2020-01-12 13:20:59,2020-01-12 13:26:11,2,1,5.2,1,13,2016-05-30 00:00:00,0,5,22,5
train,78,management,single,3,0,1,0,cellular,15,1,176,1,failure,2020-01-12 15:14:20,2020-01-12 15:16:53,2,1,2.55,1,15,2016-05-15 00:00:00,6,5,19,2
train,79,technician,single,2,0,1,0,None,29,1,-1,0,NoPrev,2020-01-12 15:54:02,2020-01-12 15:59:24,2,1,5.366666666666666,1,15,2016-05-29 00:00:00,6,5,21,4
train,80,admin.,single,2,0,1,0,None,15,3,-1,0,NoPrev,2020-01-12 11:50:19,2020-01-12 12:11:16,3,1,20.95,2,11,2016-05-15 00:00:00,6,5,19,2
train,81,technician,married,3,0,0,0,cellular,27,6,-1,0,NoPrev,2020-01-12 09:17:05,2020-01-12 09:18:02,2,1,0.95,1,9,2016-08-27 00:00:00,5,8,34,4
train,82,blue-collar,married,2,0,1,1,cellular,12,2,-1,0,NoPrev,2020-01-12 14:56:02,2020-01-12 15:00:51,2,1,4.816666666666666,1,14,2016-05-12 00:00:00,3,5,19,2
train,83,retired,single,1,0,0,0,None,17,1,-1,0,NoPrev,2020-01-12 10:54:42,2020-01-12 10:56:16,3,2,1.5666666666666667,1,10,2016-06-17 00:00:00,4,6,24,3
train,84,unemployed,married,1,0,0,0,cellular,29,2,-1,0,NoPrev,2020-01-12 09:49:16,2020-01-12 10:21:13,3,1,31.95,3,9,2016-01-29 00:00:00,4,1,4,4
train,85,admin.,divorced,2,0,0,0,cellular,10,1,-1,0,NoPrev,2020-01-12 17:50:22,2020-01-12 17:54:50,2,1,4.466666666666667,1,17,2016-07-10 00:00:00,6,7,27,2
train,86,blue-collar,married,2,1,1,1,None,7,1,-1,0,NoPrev,2020-01-12 11:24:19,2020-01-12 11:28:06,2,1,3.783333333333333,1,11,2016-05-07 00:00:00,5,5,18,1
train,87,services,married,2,0,1,0,cellular,13,2,-1,0,NoPrev,2020-01-12 11:48:53,2020-01-12 12:09:00,1,1,20.116666666666667,2,11,2016-05-13 00:00:00,4,5,19,2
train,88,admin.,single,2,0,1,0,cellular,15,3,352,6,other,2020-01-12 16:43:03,2020-01-12 16:50:43,2,1,7.666666666666667,1,16,2016-05-15 00:00:00,6,5,19,2
train,89,entrepreneur,single,2,0,0,0,cellular,24,1,-1,0,NoPrev,2020-01-12 10:52:25,2020-01-12 11:12:29,2,1,20.066666666666666,2,10,2016-07-24 00:00:00,6,7,29,4
train,90,management,married,3,0,1,1,None,6,1,-1,0,NoPrev,2020-01-12 17:54:01,2020-01-12 18:14:02,3,1,20.016666666666666,2,17,2016-05-06 00:00:00,4,5,18,1
train,91,blue-collar,single,2,0,1,0,None,30,2,-1,0,NoPrev,2020-01-12 16:00:27,2020-01-12 16:11:19,1,1,10.866666666666667,1,16,2016-05-30 00:00:00,0,5,22,5
train,92,blue-collar,divorced,1,0,1,0,None,27,4,-1,0,NoPrev,2020-01-12 12:01:04,2020-01-12 12:02:56,2,1,1.8666666666666667,1,12,2016-05-27 00:00:00,4,5,21,4
train,93,services,divorced,2,0,1,0,telephone,21,2,-1,0,NoPrev,2020-01-12 14:35:34,2020-01-12 14:39:14,2,1,3.6666666666666665,1,14,2016-11-21 00:00:00,0,11,47,4
train,94,blue-collar,married,2,0,1,0,None,23,3,-1,0,NoPrev,2020-01-12 14:48:50,2020-01-12 14:51:30,2,1,2.6666666666666665,1,14,2016-05-23 00:00:00,0,5,21,4
train,95,management,married,3,0,0,0,cellular,25,12,-1,0,NoPrev,2020-01-12 09:29:22,2020-01-12 09:30:25,2,1,1.05,1,9,2016-07-25 00:00:00,0,7,30,5
train,96,management,divorced,3,0,0,1,cellular,29,2,-1,0,NoPrev,2020-01-12 16:59:18,2020-01-12 17:03:29,2,1,4.183333333333334,1,16,2016-01-29 00:00:00,4,1,4,4
train,97,blue-collar,single,3,0,0,0,cellular,3,1,-1,0,NoPrev,2020-01-12 14:55:41,2020-01-12 15:04:40,2,1,8.983333333333333,1,14,2016-06-03 00:00:00,4,6,22,1
train,98,blue-collar,married,1,0,0,0,telephone,7,5,-1,0,NoPrev,2020-01-12 12:42:06,2020-01-12 12:42:52,2,1,0.7666666666666667,1,12,2016-07-07 00:00:00,3,7,27,2
train,99,student,single,1,0,0,0,cellular,18,2,95,4,failure,2020-01-12 12:07:08,2020-01-12 12:10:05,1,1,2.95,1,12,2016-01-18 00:00:00,0,1,3,3
train,100,management,married,3,0,0,0,cellular,16,4,-1,0,NoPrev,2020-01-12 14:01:15,2020-01-12 14:02:31,2,1,1.2666666666666666,1,14,2016-04-16 00:00:00,5,4,15,3
train,101,technician,married,2,0,1,0,None,13,2,-1,0,NoPrev,2020-01-12 11:00:26,2020-01-12 11:29:07,2,1,28.683333333333334,3,11,2016-05-13 00:00:00,4,5,19,2
train,102,technician,married,2,0,0,0,cellular,19,1,276,2,other,2020-01-12 15:58:44,2020-01-12 16:17:52,2,1,19.133333333333333,2,15,2016-07-19 00:00:00,1,7,29,4
train,103,retired,married,1,0,0,0,cellular,4,2,-1,0,NoPrev,2020-01-12 15:33:30,2020-01-12 15:43:47,3,1,10.283333333333333,1,15,2016-05-04 00:00:00,2,5,18,1
train,104,management,married,2,0,0,0,cellular,17,1,-1,0,NoPrev,2020-01-12 09:04:38,2020-01-12 09:06:01,3,1,1.3833333333333333,1,9,2016-11-17 00:00:00,3,11,46,3
train,105,technician,married,3,0,0,0,cellular,4,1,-1,0,NoPrev,2020-01-12 17:40:32,2020-01-12 17:50:32,1,1,10.0,1,17,2016-08-04 00:00:00,3,8,31,1
train,106,admin.,married,2,0,1,0,cellular,2,1,-1,0,NoPrev,2020-01-12 15:36:46,2020-01-12 15:39:04,2,1,2.3,1,15,2016-02-02 00:00:00,1,2,5,1
train,107,management,married,3,0,0,0,cellular,20,2,-1,0,NoPrev,2020-01-12 10:53:20,2020-01-12 10:56:35,1,1,3.25,1,10,2016-08-20 00:00:00,5,8,33,3
train,108,management,married,3,0,0,0,cellular,25,1,-1,0,NoPrev,2020-01-12 10:43:50,2020-01-12 10:48:22,3,1,4.533333333333333,1,10,2016-05-25 00:00:00,2,5,21,4
train,109,blue-collar,single,2,0,0,1,telephone,14,4,-1,0,NoPrev,2020-01-12 09:09:36,2020-01-12 09:11:39,2,1,2.05,1,9,2016-07-14 00:00:00,3,7,28,3
train,110,blue-collar,married,2,0,1,0,cellular,7,4,-1,0,NoPrev,2020-01-12 13:53:23,2020-01-12 14:01:37,3,1,8.233333333333333,1,13,2016-07-07 00:00:00,3,7,27,2
train,111,technician,married,2,0,0,0,cellular,2,2,-1,0,NoPrev,2020-01-12 09:39:02,2020-01-12 09:41:42,3,1,2.6666666666666665,1,9,2016-06-02 00:00:00,3,6,22,1
train,112,blue-collar,single,2,0,1,0,None,28,4,-1,0,NoPrev,2020-01-12 12:21:46,2020-01-12 12:23:07,1,1,1.35,1,12,2016-05-28 00:00:00,5,5,21,4
train,113,management,married,3,0,1,0,cellular,2,2,-1,0,NoPrev,2020-01-12 15:56:53,2020-01-12 15:58:06,1,1,1.2166666666666666,1,15,2016-03-02 00:00:00,2,3,9,1
train,114,admin.,married,3,0,1,0,None,26,3,-1,0,NoPrev,2020-01-12 13:13:32,2020-01-12 13:16:11,1,1,2.65,1,13,2016-05-26 00:00:00,3,5,21,4
train,115,management,married,3,0,0,0,cellular,30,1,86,3,success,2020-01-12 10:34:28,2020-01-12 10:39:25,1,1,4.95,1,10,2016-04-30 00:00:00,5,4,17,5
train,116,services,married,2,0,1,1,cellular,30,4,-1,0,NoPrev,2020-01-12 16:23:41,2020-01-12 16:32:44,2,1,9.05,1,16,2016-07-30 00:00:00,5,7,30,5
train,117,retired,married,2,0,0,0,cellular,4,5,184,1,success,2020-01-12 17:49:48,2020-01-12 17:51:22,3,1,1.5666666666666667,1,17,2016-02-04 00:00:00,3,2,5,1
train,118,management,married,3,0,0,0,cellular,10,1,728,2,failure,2020-01-12 14:38:11,2020-01-12 14:45:38,1,1,7.45,1,14,2016-08-10 00:00:00,2,8,32,2
train,119,management,married,3,1,0,0,cellular,28,5,-1,0,NoPrev,2020-01-12 13:33:23,2020-01-12 13:36:08,2,1,2.75,1,13,2016-07-28 00:00:00,3,7,30,5
train,120,technician,single,3,0,0,0,cellular,6,1,-1,0,NoPrev,2020-01-12 11:44:15,2020-01-12 11:46:36,2,1,2.35,1,11,2016-02-06 00:00:00,5,2,5,1
train,121,management,divorced,3,0,0,0,cellular,30,2,-1,0,NoPrev,2020-01-12 10:08:32,2020-01-12 10:14:41,2,1,6.15,1,10,2016-12-30 00:00:00,4,12,52,5
train,122,entrepreneur,married,3,0,0,0,telephone,9,1,-1,0,NoPrev,2020-01-12 13:54:34,2020-01-12 13:57:55,3,1,3.35,1,13,2016-11-09 00:00:00,2,11,45,2
train,123,unemployed,married,1,0,0,0,None,20,2,-1,0,NoPrev,2020-01-12 14:40:48,2020-01-12 14:57:01,2,1,16.216666666666665,2,14,2016-06-20 00:00:00,0,6,25,4
train,124,blue-collar,married,1,0,0,0,cellular,15,2,105,2,success,2020-01-12 16:20:13,2020-01-12 16:22:00,3,1,1.7833333333333334,1,16,2016-09-15 00:00:00,3,9,37,3
train,125,retired,divorced,1,0,0,1,cellular,10,5,-1,0,NoPrev,2020-01-12 09:10:06,2020-01-12 09:12:47,3,1,2.683333333333333,1,9,2016-07-10 00:00:00,6,7,27,2
train,126,technician,divorced,3,0,0,0,cellular,22,2,-1,0,NoPrev,2020-01-12 15:18:48,2020-01-12 15:29:59,1,1,11.183333333333334,2,15,2016-08-22 00:00:00,0,8,34,4
train,127,blue-collar,married,2,0,1,1,cellular,20,2,122,2,other,2020-01-12 12:28:18,2020-01-12 12:49:16,2,1,20.966666666666665,2,12,2016-11-20 00:00:00,6,11,46,3
train,128,student,single,3,0,0,0,cellular,21,1,-1,0,NoPrev,2020-01-12 09:39:08,2020-01-12 10:05:19,1,1,26.183333333333334,3,9,2016-11-21 00:00:00,0,11,47,4
train,129,admin.,married,2,0,1,0,cellular,19,2,-1,0,NoPrev,2020-01-12 12:58:37,2020-01-12 13:00:19,2,1,1.7,1,12,2016-08-19 00:00:00,4,8,33,3
train,130,management,married,3,0,0,1,telephone,9,3,-1,0,NoPrev,2020-01-12 09:00:50,2020-01-12 09:04:56,3,1,4.1,1,9,2016-07-09 00:00:00,5,7,27,2
train,131,management,married,3,0,0,0,cellular,28,1,-1,0,NoPrev,2020-01-12 14:48:36,2020-01-12 15:03:29,2,1,14.883333333333333,2,14,2016-12-28 00:00:00,2,12,52,5
train,132,management,married,3,0,0,0,cellular,13,1,-1,0,NoPrev,2020-01-12 14:49:47,2020-01-12 14:56:59,3,1,7.2,1,14,2016-03-13 00:00:00,6,3,10,2
train,133,technician,divorced,3,0,1,0,cellular,16,1,317,1,failure,2020-01-12 15:20:49,2020-01-12 15:25:58,2,1,5.15,1,15,2016-04-16 00:00:00,5,4,15,3
train,134,retired,married,2,0,0,1,cellular,9,1,-1,0,NoPrev,2020-01-12 12:13:08,2020-01-12 12:14:25,3,1,1.2833333333333334,1,12,2016-07-09 00:00:00,5,7,27,2
train,135,admin.,married,2,0,0,0,cellular,20,1,90,4,other,2020-01-12 13:37:21,2020-01-12 13:42:14,2,1,4.883333333333334,1,13,2016-08-20 00:00:00,5,8,33,3
train,136,management,divorced,3,0,0,0,cellular,21,1,-1,0,NoPrev,2020-01-12 14:54:56,2020-01-12 15:05:44,2,1,10.8,1,14,2016-11-21 00:00:00,0,11,47,4
train,137,services,single,2,0,0,0,cellular,3,1,-1,0,NoPrev,2020-01-12 11:43:28,2020-01-12 11:46:51,1,1,3.3833333333333333,1,11,2016-07-03 00:00:00,6,7,26,1
train,138,blue-collar,single,1,0,1,0,cellular,14,1,290,2,failure,2020-01-12 14:36:30,2020-01-12 14:37:44,1,1,1.2333333333333334,1,14,2016-05-14 00:00:00,5,5,19,2
train,139,technician,married,3,0,0,0,cellular,9,3,94,4,success,2020-01-12 16:32:21,2020-01-12 16:34:46,3,1,2.4166666666666665,1,16,2016-08-09 00:00:00,1,8,32,2
